,table_names,table_vers,created_dates,updated_dates,descriptions,comments
3560,WK-8R-C5,1,1990-02-13,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 7,8, & 9."
1068,LR-RATE-CHG-8R1,1,1990-02-14,1993-02-01,LIMITED RESOURCE RATE CHANGE,THIS IS THE FIRST CARD FOR THE 8R TRANSA CTION.  THE 8R CHANGES THE INTEREST RATE ON LIMITED RESOURCE LOANS
3561,WK-8R-D5,1,1990-02-14,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 10, 11 & 12."
3562,WK-8R-E5,1,1990-02-14,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 13, 14 & 15."
3563,WK-8R-F5,1,1990-02-14,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 16, 17 & 18."
3564,WK-8R-G5,1,1990-02-14,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 19, 20 & 21."
3565,WK-8R-H5,1,1990-02-14,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 22, 23 & 24."
3566,WK-8R-I5,1,1990-02-14,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 25, 26 & 27."
3567,WK-8R-J5,1,1990-02-14,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 28, 29 & 30."
3568,WK-8R-K5,1,1990-02-14,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 31, 32 & 33."
3569,WK-8R-L5,1,1990-02-14,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 34, 35 & 36."
3570,WK-8R-M5,1,1990-02-14,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 37, 38 & 39."
3571,WK-8R-N5,1,1990-02-15,,LIMITED RESOURCE RATE CHANGE,"I/O CARD IMAGE FOR 8R, MAP ADMU8R01,DC PGM ADTU8R01.  CONTA INS INSTALLMENTS 40."
2748,WK-MAP-RCRD-ACQD,1,1990-02-15,1990-02-24,ACQD PROP MAP WORK RCRD FOR MAP,
286,APPLCTN-MNTRG,4,1990-02-28,1990-03-01,APPLICATION MONITORING RECORD,
1880,SGDLD371-MAPWORK,1,1990-03-02,1994-06-09,WORK RECORD FOR MAP SGM00371,
2657,WK-IC-02,1,1990-03-06,1990-09-13,WORK RECORD FOR ADMUIC01,TRANSACTION IC INTEREST CREDIT WK-IC-02 FOR ADMUIC01 ADTUIC01 CARD TYPE 2 NBR 1
2369,WK-APROPTN-ACCTG-RCRD-A,1,1990-03-07,1990-03-07,APPROPRIATION ACCOUNTING WORK RECORD,
3504,WK-5X-12,1,1990-03-09,1990-03-12,,"I/O CARD IMAGE FOR ADPS MAP ADMU5X01 AND PGM ADTU5X01. IT CONTAINS REQUIRED DATA FOR TRANSACTION 5X. CARD TYPE 2, NBR 1. WORK RECORD FOR THE 5X ADPS INPUT TRANSACTION"
2659,WK-IC-12,1,1990-03-09,1996-06-06,WORK RECORD FOR ADMUIC01,TRANSACTION IC INTEREST CREDIT WK-IC-12 FOR ADMUIC01 ADTUIC01 CARD TYPE 2
1242,PREPAY,4,1990-03-12,1990-03-13,PREPAYMENT INCENTIVES/DEBT FORGIVENESS,
3505,WK-5X-15,1,1990-03-12,1990-03-12,TRANS 5X; CARD IMAGE TYPE 5 NUMBER 1,"I/O CARD IMAGE FOR ADPS MAP ADMU5X01 AND PGM ADTU5X01. IT CONTAINS INSTALLMENTS 1 THRU 3. CARD TYPE IS 5, NBR 1. WORK RECORD FOR THE 5X ADPS INPUT TRANSACTION"
3506,WK-5X-25,1,1990-03-12,1990-03-12,TRANS 5X; CARD IMAGE TYPE 5 NUMBER 2,"I/O CARD IMAGE FOR ADPS MAP ADMU5X01 AND PGM ADTU5X01. IT CONTAINS INSTALLMENTS 3 THRU 6. CARD TYPE IS 5, NBR 2. WORK RECORD FOR THE 5X ADPS INPUT TRANSACTION"
3507,WK-5X-35,1,1990-03-12,1990-03-12,TRANS 5X; CARD IMAGE TYPE 5 NUMBER 3,"I/O CARD IMAGE FOR ADPS MAP ADMU5X01 AND PGM ADTU5X01. IT CONTAINS INSTALLMENTS 7 THRU 9. CARD TYPE IS 5, NBR 3. WORK RECORD FOR THE 5X ADPS INPUT TRANSACTION"
3508,WK-5X-45,1,1990-03-12,1990-03-12,TRANS 5X; CARD IMAGE TYPE 5 NUMBER 4,"I/O CARD IMAGE FOR ADPS MAP ADMU5X01, ADMU5X02, AND PGMS ADTU5X01, ADTU5X02. IT CONTAINS INSTALLMENTS 10 THRU 12. CARD TYPE IS 5, NBR 4. WORK RECORD FOR THE 5X ADPS INPUT TRANSACTION"
3509,WK-5X-55,1,1990-03-12,1990-03-12,TRANS 5X; CARD IMAGE TYPE 5 NUMBER 5,"I/O CARD IMAGE FOR ADPS MAP ADMU5X02 AND PGM ADTU5X02. IT CONTAINS INSTALLMENTS 13 THRU 15. CARD TYPE IS 5, NBR 5. WORK RECORD FOR THE 5X ADPS INPUT TRANSACTION"
3279,WK-3E-01,1,1990-03-14,1990-06-29,,"RECORD FOR MAP ADMU3E01; CARD TYPE IS 2. TRANSACTION 3E IS USED TO PROCESS THE ACQUISITION OF BOTH REAL AND CHATTEL PROPERTY BY THE GOVERNMENT THRU VOLUNTARY CONVEYANCE OR FORECLOSURE, OR BY 3RD PARTY. WK-3E-02 IS A WORK RECORD FOR PGM ADTU3E01 AND MAP ADMU3E01; CARD TYPE IS 2."
2371,WK-APROPTN-DETAIL-RCRD,1,1990-03-21,1991-03-13,APRPP ACCTG DETAIL WORK RECORD,APPROPRIATION ACCOUNTING INQUIRY SYSTEM RECORD FOR MULTIPLE PAGE MAPS-PROVIDING DETAILED ACCOUNT BALANCE INFORMATION.
2373,WK-APROPTN-MAP-RCRD,1,1990-03-21,1990-07-11,APRPP ACCTG MAP WORK RECORD,APPROPRIATION ACCOUNTING INQUIRY SYSTEM RECORD FOR MULTIPLE PAGE MAPS - ALLOWING ENGLISH LANGUAGE DESCRIPTORS BY USING A CODE TABLE.
1583,SBDLD601-WORK-RCRD,1,1990-03-22,1998-02-05,SBDLD601-WORK-RCRD,
3510,WK-5Y-12,1,1990-03-23,1990-03-23,TRANS 5Y; CARD IMAGE TYPE 2 NUMBER 1,"I/O CARD IMAGE FOR ADPS MAP ADMU5Y01 AND PGM ADTU5Y01. IT CONTAINS REQUIRED DATA FOR TRANSACTION 5Y. CARD TYPE 2, NBR 1. WORK RECORD FOR THE 5Y ADPS INPUT TRANSACTION"
3511,WK-5Y-15,1,1990-03-23,1990-03-23,TRANS 5Y; CARD IMAGE TYPE 5 NUMBER 1,"I/O CARD IMAGE FOR ADPS MAP ADMU5Y01 AND PGM ADTU5Y01. IT CONTAINS INSTALLMENTS 1 THRU 3. CARD TYPE IS 5, NBR 1. WORK RECORD FOR THE 5Y ADPS INPUT TRANSACTION"
3512,WK-5Y-22,1,1990-03-23,1990-03-23,TRANS 5Y; CARD IMAGE TYPE 2 NUMBER 2,"I/O CARD IMAGE FOR ADPS MAP ADMU5Y01 AND PGM ADTU5Y01. IT CONTAINS REQUIRED DATA FOR TRANSACTION 5Y. CARD TYPE 2, NBR 1. WORK RECORD FOR THE 5Y ADPS INPUT TRANSACTION"
3513,WK-5Y-25,1,1990-03-23,1990-03-23,TRANS 5Y; CARD IMAGE TYPE 5 NUMBER 2,"I/O CARD IMAGE FOR ADPS MAP ADMU5Y01 AND PGM ADTU5Y01. IT CONTAINS INSTALLMENTS 3 THRU 6. CARD TYPE IS 5, NBR 2. WORK RECORD FOR THE 5Y ADPS INPUT TRANSACTION"
3514,WK-5Y-35,1,1990-03-23,1990-03-23,TRANS 5Y; CARD IMAGE TYPE 5 NUMBER 3,"I/O CARD IMAGE FOR ADPS MAP ADMU5Y01, ADMU5Y02, AND PGMS ADTU5Y01, ADTU5Y02. IT CONTAINS INSTALLMENTS 7 THRU 9. CARD TYPE IS 5, NBR 3. WORK RECORD FOR THE 5Y ADPS INPUT TRANSACTION"
3515,WK-5Y-45,1,1990-03-23,1990-03-23,TRANS 5Y; CARD IMAGE TYPE 5 NUMBER 4,"I/O CARD IMAGE FOR ADPS MAP ADMU5Y02 AND PGM ADTU5Y02. IT CONTAINS INSTALLMENTS 10 THRU 12. CARD TYPE IS 5, NBR 4. WORK RECORD FOR THE 5Y ADPS INPUT TRANSACTION"
3516,WK-5Y-55,1,1990-03-23,1990-03-23,TRANS 5Y; CARD IMAGE TYPE 5 NUMBER 5,"I/O CARD IMAGE FOR ADPS MAP ADMU5Y02 AND PGM ADTU5Y02. IT CONTAINS INSTALLMENTS 13 THRU 15. CARD TYPE IS 5, NBR 5. WORK RECORD FOR THE 5Y ADPS INPUT TRANSACTION"
3283,WK-3E-05,1,1990-03-26,1990-05-21,ACQUISTION PROPERTY;CARD TYP 5,TRANSACTION 3E - ACQUISITION PROPERTY WK-3E-05 IS A WORK RECORD FOR PGM ADTU3E01 AND MAP ADMU3E01.
815,FARMS-USERS,2,1990-03-28,1990-03-28,SECURITY MAINTENANCE RECORD,SECURITY MAINTENANCE SYSTEM RECORD USED TO ACCESS TERMINAL SYSTEMS
3407,WK-4K-02,1,1990-03-29,1990-06-18,REOPEN CLOSED LOAN ACCOUNT,"WORK RECORD FOR THE 4K 'REOPEN CLOSED BORROWER/HOLDER ACCOUNT' AND 'REOPEN CLOSED PROPERTY/LEASE ACCOUNT' SCREENS. CARD TYPE 2. MAPS ADMU4K01, ADMU4K02. PROGRAMS ADTU4K01, ADTU4K02"
745,FARMS-LESSEE,3,1990-04-02,1999-11-18,,LESSEE DATABASE RECORD.  CONTAINS COMMON DATA ON INDIVIDUAL WHO ARE LEASING  ACQUIRE PROPERTY FROM THE AGENCY.
2319,WK-ACMU016,1,1990-04-02,1990-04-06,ACMU016 MAP WORK RECORD,
3220,WK-1K-02,1,1990-04-11,1991-06-06,NON-RECOV COST INCIDENT TO LOAN/ACQUIRED,"WORK RECORD FOR TRANSACTION CODE 1K, NONRECOVERABLE COST. USED IN PROGRAM ADPT1K01, MAP ADPM1K01."
2235,USEFDS,2,1990-04-16,1990-04-16,USE FUNDS,
2100,SYS-MSG-RCRD,1,1990-04-19,1990-05-23,,
2102,SYS-MSG1-RCRD,1,1990-04-19,1990-05-02,RECORD FOR SYSTEM MESSAGE SYSTEM,
1954,SGMDD410-WORK-RCRD,1,1990-04-23,,WORK RECORD FOR PROGRAM SGMDD410,WORK RECORD USED IN PROGRAM SGMDD410 - PROGRAM TO RANDOMLY SELECT BORROWERS TO BE OBLIGATED
1599,SBM1A540-MAPWORK-RCRD,1,1990-04-25,1990-05-18,MAPWORK RECORD FOR SBM1A540,MAPWORK RECORD FOR TRANSACTION TO RECORD PREAPPLICATION DATA
3221,WK-1L-02,1,1990-04-26,1992-08-04,RECOVERABLE LOAN COST,WORK RECORD FOR THE 1L TRANSACTION
2096,SYS-MSG-END-RCRD,1,1990-05-01,1990-05-03,RECORD FOR SYSTEM MESSAGE SYSTEM,
2097,SYS-MSG-END1-RCRD,1,1990-05-01,1990-05-01,RECORD FOR SYSTEM MESSAGE SYSTEM,
2094,SYS-MSG-CDE-RCRD,1,1990-05-02,1990-05-10,RECORD FOR SYSTEM MESSAGE SYSTEM,
2095,SYS-MSG-CNTR-RCRD,1,1990-05-02,1990-05-15,RECORD FOR SYSTEM MESSAGE SYSTEM,
2103,SYS-QUEUE-RCRD,1,1990-05-02,1990-05-02,RECORD FOR SYSTEM MESSAGE SYSTEM,
1069,LR-RATE-CHG-8R2,1,1990-05-07,1990-06-15,LIMITED RESOURCE RATE CHANGE,THIS RECORD WILL CONTAIN THE ELEMENT THAT STORES THE INSTALLMENT INFORMATION IT WILL OCCUR 40 TIMES
3290,WK-3K-12,1,1990-05-07,2000-05-05,"TRANS 3K, CARD IMAGE TYPE 2 NBR 1","INPUT/OUTPUT FOR MAP ADMU3K01, DEBT SETTLEMENT; DC COBOL PROGRAM ADTU3K01. WORK RECORD FOR THE 3K ADPS INPUT TRANSACTION"
3292,WK-3K-22,1,1990-05-07,1991-07-31,"TRANS 3K, CARD IMAGE TYPE 2 NBR 2","INPUT/OUTPUT FOR MAP ADMU3K01, DEBT SETTLEMENT; DC COBOL PROGRAM ADTU3K01. WORK RECORD FOR THE 3K ADPS INPUT TRANSACTION"
2098,SYS-MSG-ID-RCRD,1,1990-05-09,1990-05-09,RECORD FOR SYSTEM MESSAGE SYSTEM,
315,ARCHIVE-AMAS-RCRD,1,1990-05-10,1990-06-21,ARCHIVE AMAS RECORD,RECORD LAYOUT FOR USE IN THE AMAS HISTORY REPACK PROCESS
2099,SYS-MSG-ID1-RCRD,1,1990-05-10,1990-05-10,RECORD FOR SYSTEM MESSAGE SYSTEM,
1483,RSTOR-HIST-TRNSCTN-RCRD,1,1990-05-11,1990-05-14,RESTORE HISTORY TRANSACTION RECORD,DETAIL PORTION OF THE M4Y RESTORE HISTORY PROCESS
1967,SIDLD100-MAPWORK-RCRD,1,1990-05-14,1990-05-14,SIDLD100 MAPWORK RECORD,MAPWORK RECORD FOR M4Y TRANSACTION  -  FOR THE RE-ESTABLISHMENT OF AMAS HISTORY FROM ARCHIVES
2093,SYS-MSG-A-RCRD,1,1990-05-15,1990-05-15,RECORD FOR SYSTEM MESSAGE SYSTEM,
1187,OFFICE,2,1990-05-16,,MANAGEMENT OFFICE RECORD,
1600,SBM1A560-MAPWORK-RCRD,1,1990-05-16,1990-05-18,WORK RECORD FOR SBM1A560,WORK RECORD FOR SBM1A560 2ND PAGE OF PREAPPLICATION
2101,SYS-MSG-T-RCRD,1,1990-05-16,1990-05-16,RECORD FOR SYSTEM MESSAGE SYSTEM,
1250,PROG-CK-RCRD-B,1,1990-05-21,,TEST,TEST PROG DDBR01B
1251,PROG-CK-RCRD-F,9,1990-05-21,1990-05-22,TEST,TEST PROGRAM DDBR01B
1454,RESTORE-AMAS-RCRD,1,1990-05-21,1990-06-21,RESTORE AMAS RECORD,RECORD LAYOUT USED TO RESTORE AMAS HISTORY THAT HAD PREVIOUSLY BEEN ARCHIVED
2864,WK-RH-PYMT-HDR,1,1990-05-22,1990-06-11,RCRD FOR RH PYMT ACTV SUBMENU HEADER,
368,BOBRCRD,1,1990-05-24,,BORROWER PROJECT TRANSACTION RECORD,
2238,USER-DETAIL-RCRD,1,1990-05-31,1990-07-12,USER MESSAGE INPUT RECORD,
2241,USER-MAP-RCRD,1,1990-05-31,1990-07-27,USER MESSAGE RCRD FOR MAP FIELDS,
2242,USER-QUEUE-RCRD,1,1990-05-31,1990-08-02,DETAIL RCRD FOR MULTIPLE PAGE MAPS,
2245,USER-WORK-RCRD,1,1990-05-31,1990-07-12,USER MESSAGE WORK RECORD,
369,BOBRCRD1,1,1990-06-01,1990-06-04,,
374,BORR-PYMT-RCRD,1,1990-06-07,1990-08-27,BORROWER PAYMENT RECORD (ESCROW),
620,ESCROW-CHG-RCRD,1,1990-06-07,1990-06-07,ESCROW CHANGE RECORD,
621,ESCROW-CNVRSN-RCRD,1,1990-06-07,1990-06-07,ESCROW CONVERSION RECORD,
629,ESCROW-PYMT-RCRD,1,1990-06-07,1990-10-19,ESCROW PAYMENT RECORD FOR BILLS,
2658,WK-IC-03,1,1990-06-12,1990-06-12,WORK RECORD FOR ADMUIC01,WORK RECORD FOR ADMUIC01
1198,OVRGE-COMPUTE-RCRD,1,1990-06-13,1990-06-21,USED AS A COMPUTIONAL RCRD,THIS RECORD IS USED BY M2A DIALOGS SDDLD201 SDDLD207 TO COMPUTE MAX OVERAGE SURCHARGE FOR OVERAGE TYPE 4 THIS RECORD CONTAINS A FIELD USED BY SDDLD201 SDDLD207 IN WORKING STORAGE TO COMPUTE MAX OVERAGE SURCHARGE FOR OVERAGE TYPE CODE '4'
628,ESCROW-MSRTED-PYMT-RCRD,1,1990-06-19,1990-06-19,ESCROW MISROUTED PAYMENTS RECORD,
630,ESCROW-SHRT-NOTC-RCRD,1,1990-06-19,1990-06-19,NOTICE OF ESCROW SHORTAGES,
727,FARMS-GLLNDR,1,1990-06-19,1990-06-19,GUARANTEED LOAN LENDER DATABASE RECORD,
488,CSTITEM,3,1990-06-20,1990-06-20,COST ITEM,
618,ESCROW-ACTV-RCRD,1,1990-06-20,1990-06-20,ESCROW ACTIVITY TO FMHA,
631,ESCROW-STAT-RCRD,1,1990-06-20,1990-07-02,ESCROW STATUS TO FMHA,
416,CIHIST,3,1990-06-21,1990-06-21,COST HISTORY,
2237,USER-DESC-RCRD,1,1990-06-21,1990-08-02,USER MSG RCRD TO DETERMINE USER & SUBSYS,
3581,WK-9E-02,1,1990-06-25,1990-06-25,SUSPEND CODE ACQUIRED PROP OR LEASE,WORK RECORD TO BE USED WITH PROGRAM ADTU9E01 AND MAP ADMU9E01 FOR 9E TRANSACTION SUSPEND CODE ACQUIRED PROP OR LEASE. CARD TYPE 2.
2246,USER-WORK1-RCRD,1,1990-06-28,1990-08-02,WORK RECORD FOR USER MESSAGE SYSTEM,
2596,WK-GS-01,1,1990-06-30,1990-06-30,SUBSIDY AGREEMENT,THIS TRANSACTION IS USED TO CAPTURE BORROWER LOAN CLASSIFIACTION DATA AND LOAN LOSS ESTIMATES. WORK RECORD FOR THE FIRST SCREEN OF THE GS SUBSIDY AGREEMENT TRANS
2597,WK-GS-02,1,1990-06-30,1990-06-30,SUBSIDY CANCELLATION,THIS TRANSACTION IS USED TO CAPTURE BORROWER LOAN CLASSIFIACTION DATA AND LOAN LOSS ESTIMATES. WORK RECORD FOR THE GS SUBSIDY CANCELLATION TRANSACTION
2600,WK-GS-21,1,1990-06-30,1990-07-09,SUBSIDY AGREEMENT,THIS TRANSACTION IS USED TO CAPTURE BORROWER LOAN CLASSIFIACTION DATA AND LOAN LOSS ESTIMATES. WORK RECORD FOR THE GS SUBSIDY AGREEMENT TRANSACTION
2239,USER-DETAIL1-RCRD,1,1990-07-02,1990-08-02,WORK RECORD FOR USER MESSAGES,
2820,WK-PYMT-ACTV-SCRN-2,1,1990-07-09,1991-04-01,SCREEN RECORD  TOTAL CREDITS AREA,
2243,USER-TASK-RCRD,1,1990-07-10,1990-08-02,USER MESSAGE RCRD TO PASS TASK CODE,
3470,WK-5L-32,1,1990-07-12,1993-01-26,TRANS 5L; CARD IMAGE TYPE 2 NBR 3,"WORK RECORD FOR THE 5L ADPS TRANSACTION I/O CARD IMAGE FOR ADPS MAP ADMU5L01 AND PGM ADTU5L01.  IT CONTAINS REQUIRED DATA FOR TRANSACTION 5L.  CARD TYPE 2, NBR 3."
3119,WK-USER-ID-ST-CDE,1,1990-07-13,1990-07-13,EXTRACT STATE CODE FROM USER ID,THIS WORK RECORD IS USED TO EXTRACT THE STATE CODE WHICH IS IMBEDED WITHIN THE USER-ID.
2276,W-REC-1,1,1990-07-17,1990-07-17,FEDERAL ASSISTANCE AWARDS DATA SYSTEM,
2277,W-REC-2,1,1990-07-17,1990-07-17,FEDERAL ASSISTANCE AWARDS DATA SYSTEM,
2278,W-REC-3,1,1990-07-17,1990-07-24,FEDERAL ASSISTANCE AWARDS DATA SYSTEM,
2279,W-REC-4,1,1990-07-18,1990-07-26,FEDERAL ASSISTANCE AWARDS DATA SYSTEM,
2280,W-REC-5,1,1990-07-18,1990-07-18,FEDERAL ASSISTANCE AWARDS DATA SYSTEM,
1036,LNS-SLCTN-RCRD,1,1990-08-06,1990-08-06,LOANS SELCTD FOR SFH ESCROW/BILLING SYS,
1586,SBMIS535-MAPWORK-RCRD,1,1990-08-06,1990-10-03,SBMIS535 MAPWORK RCRD,
340,AVG-INT-RATE-RCRD,1,1990-08-10,1992-10-22,FOR AVERAGE INTEREST RATE COMPUTATION,
1587,SBMIS536-MAPWORK-RCRD,1,1990-08-11,1990-10-03,SBMIS536 MAPWORK RCRD,
974,INT-RATE-MAP-RCRD,1,1990-08-13,1992-10-22,MAP RCRD FOR GUARANTEED LOAN SUBSYSTEM,
973,INT-RATE-DTL-RCRD,1,1990-08-15,1992-10-22,DETAIL RCRD FOR SUBSIDIZED INTEREST PGM,
975,INT-RATE-TTL-RCRD,1,1990-08-15,1992-10-22,TOTAL RCRD FOR SUBSIDIZED INTEREST PGM,
1606,SBSZD-INT-RATE-MAP-RCRD,1,1990-08-15,1992-10-22,SCDLD360 MAPWORK RECORD,
301,APROPTN-MAP-RCRD,1,1990-08-17,1990-08-29,APPROPRIATION ACCOUNTING MAP RECORD,
1038,LNSHIST,2,1990-08-21,,LOAN STATIC HISTORY,
1052,LOANSTC,2,1990-08-21,,LOAN STATIC,
314,ARCHIST,3,1990-08-22,,AUDIT RECEIVABLE HISTORY,
335,AUDRCVB,3,1990-08-22,,AUDIT RECEIVABLE,
1044,LNVHIST,2,1990-08-22,,LOAN VARIABLE HISTORY,
1060,LOANVRB,2,1990-08-22,,LOAN VARIABLE RECORD,
1263,PROJHIST,5,1990-08-22,1990-08-23,PROJECT HISTORY,
1272,PROJVRB,5,1990-08-22,1991-03-27,PROJECT VARIABLE,
1289,PYMT-TTL-RCRD,1,1990-08-27,1990-08-27,TOTAL COUNT AND AMOUNT OF 2X RECORDS,RECORD CONTAINING THE TOTAL NUMBER OF PAYMENTS AND THE TOTAL AMOUNT OF PAYMENTS RECEIVED FROM THE CONTRACTOR.
2377,WK-APROPTN-SUB-TTL-RCRD,1,1990-08-27,1990-08-29,APRPP ACCTG SUBTOTAL WORK RECORD,APPROPRIATION ACCOUNTING INQUIRY SYSTEM RECORD FOR MULTIPLE PAGE MAPS-PROVIDING DETAILED ACCOUNT BALANCE INFORMATION.
303,APROPTN-SUB-TTL-RCRD,1,1990-08-28,1990-08-28,APROPRIATION TRANSACTION RECORD,
2322,WK-ACQD-DAPROC-1-RCRD,1,1990-09-05,1990-12-04,FIRST RECORD FOR DAPROC ACQUIRED PROP,
1026,LN-MAP-RCRD,1,1990-09-06,1991-03-11,LOAN & INSTLMT RCRD RESTORE-MAP RECORD,
2736,WK-LOAN-RCRD,1,1990-09-06,1991-02-19,WORK RECORD FOR THE RESTORE SUBSYSTEM,
2323,WK-ACQD-DAPROC-2-RCRD,1,1990-09-07,1991-02-12,SECOND RECORD FOR DAPROC ACQUIRED PROP,
2735,WK-LN-INSTLMT-RCRD,1,1990-09-11,1992-01-13,WORK RECORD FOR LN/INSTLMT RESTORE RCRD,
1706,SDDLD401-MAPWORK,1,1990-09-12,2010-03-11,M5J WORK RECORD,
2007,SPECL-BDGT-TRNSCTN-RCRD,1,1990-09-13,2010-03-11,,
2585,WK-GL01-INQ,1,1990-09-19,1994-02-12,GUARANTEED LOAN SCREEN #1 WORK RCRD,GUARANTEED LOAN ACCOUNT INFORMATION FOR INQUIRY MAP #1 WORK RECORD
2812,WK-PROP-ID-RCRD,1,1990-09-20,1990-09-20,LSE-INFO PROPERTY ID NUMBER,
670,FARMS-ASSISTANCE,3,1990-09-25,1999-11-18,,ASSISTANCE DATABASE RECORD.  CONTAINS DATA FOR LOANS WILL INTEREST ASSISTANCE.
1033,LNDR-XREF-ENTRY-RCRD,1,1990-09-28,1990-10-05,LNDR XREF ENTRY INFO,
2375,WK-APROPTN-MAP2-RCRD,1,1990-10-01,1990-10-01,APROP ACCTG RECORD,
2586,WK-GL02-INQ,1,1990-10-03,1991-02-26,GUARANTEED LOAN SCREEN #2 WORK RCRD,GUARANTEED LOAN ACCOUNT INFORMATION FOR INQUIRY MAP #2 WORK RECORD
2587,WK-GL03-INQ,1,1990-10-03,1992-02-06,GUARANTEED LOAN SCREEN #3 WORK RCRD,GUARANTEED LOAN ACCOUNT INFORMATION FOR INQUIRY MAP #3 WORK RECORD
1030,LNDR-DETAIL-RCRD,1,1990-10-09,1990-10-09,LENDER CROSS REFERENCE DETAIL RECORD,
1031,LNDR-DTL-RCRD,1,1990-10-09,1993-11-05,LENDER CROSS-REFERENCE INQUIRY DTL RCRD,
1032,LNDR-MAP-RCRD,1,1990-10-09,1992-10-22,LENDER CROSS-REFERENCE INQUIRY MAP RCRD,
324,AUBS03CI-LNKG-RCRD,1,1990-10-10,1990-10-12,LINKAGE RECORD FOR AUBS03CI PROGRAM,LINKAGE RECORD USED WITH AUBS03CI WHICH CALCULATES THE AMOUNT OF INTEREST TO BE CAPITALIZED AND NON-CAPITALIZED FOR REAMS AND CONSOLIDATIONS.
1590,SBM1A005,1,1990-10-17,1990-10-17,MAP RCRD 1ST PAGE PREAPPL,MAPWORK RECORD FOR TRANSACTION TO RECORD PREAPPLICATION DATA
1592,SBM1A005-MAP-RCRD,1,1990-10-17,2002-12-09,MAP RCRD 1ST PAGE PREAPPLICATION,MAPWORK RECORD FOR TRANSACTION TO RECORD PREAPPLICATION DATA
1598,SBM1A010-MAP-RCRD,1,1990-10-17,1990-10-17,MAP RCRD 1ST PAGE APPLICATION,MAPWORK RECORD FOR TRANSACTION TO RECORD PREAPPLICATION DATA
1597,SBM1A006-MAP-RCRD,1,1990-10-18,1990-10-18,MAPWORK RECORD FOR SBM1A540,MAPWORK RECORD FOR TRANSACTION TO RECORD PREAPPLICATION DATA
2556,WK-GA-12,1,1990-10-18,1990-12-21,TRANS GA; CARD IMAGE TYPE 2 NUMBR 1,WORK RECORD FOR THE GA(4030) ADPS INPUT TRANSACTION
2559,WK-GA-22,1,1990-10-18,1990-12-06,TRANS GA; CARD IMAGE TYPE 2 NUMBR 2,WORK RECORD FOR THE GA(4030) ADPS INPUT TRANSACTION
2562,WK-GA-32,1,1990-10-18,1993-11-03,TRANS GA; CARD IMAGE TYPE 2 NUMBR 3,WORK RECORD FOR THE GA(4030) ADPS INPUT TRANSACTION
2557,WK-GA-13,1,1990-10-19,1991-01-15,TRANS GA; CARD IMAGE TYPE 3 NUMBR 1,WORK RECORD FOR THE GA(4030) ADPS INPUT TRANSACTION
2558,WK-GA-14,1,1990-10-19,1991-01-15,TRANS GA; CARD IMAGE TYPE 4 NUMBR 1,WORK RECORD FOR THE GA(4030) ADPS INPUT TRANSACTION
2560,WK-GA-23,1,1990-10-19,1990-10-19,TRANS GA; CARD IMAGE TYPE 3 NUMBR 2,WORK RECORD FOR THE GA(4030) ADPS INPUT TRANSACTION
2561,WK-GA-24,1,1990-10-19,1990-10-19,TRANS GA; CARD IMAGE TYPE 4 NUMBR 2,WORK RECORD FOR THE GA(4030) ADPS INPUT TRANSACTION
2563,WK-GA-33,1,1990-10-19,1991-01-15,TRANS GA; CARD IMAGE TYPE 3 NUMBR 3,WORK RECORD FOR THE GA(4030) ADPS INPUT TRANSACTION
2564,WK-GA-34,1,1990-10-19,1993-11-03,TRANS GA; CARD IMAGE TYPE 4 NUMBR 3,WORK RECORD FOR THE GA(4030) ADPS INPUT TRANSACTION
