ACCT-NBR,PRFX-LINE-NBR,SFX-LINE-NBR,SUB-SFX-LINE-NBR,MINOR-CDE-FLAG,ACCT-TITLE,BAL-CDE,ENTY,DTE-LST-RGSTR-ACCT
7922,38,6,3,0,Maria's Peach Orchard,5,1,70320
7923,18,1,6,0,Green Meadow Avocado Farm,5,4,82822
7924,59,1,2,0,Happy Herb Garden,8,1,82121
7925,59,1,1,1,Green Meadow Maple Syrup,8,2,122621
7926,38,6,7,0,Webb Family Ranch,4,1,41713
7927,52,4,6,1,Fullerton Apples,2,2,31917
7928,18,2,2,1,Monarch Meadow Cow Farm,1,3,102218
7929,18,2,4,0,Alberto's Organic Farm,8,4,122315
7930,18,2,5,1,Monarch Meadow Honey Bee Farm,6,3,120814
7931,79,6,8,1,Pringle Family Apples,1,2,20817
7932,38,7,8,0,Middle Creek Honey Bee Farm,7,1,31315
7933,18,3,1,0,Eduardo's Country Estate,9,1,111014
7934,79,7,4,1,Serene Chickens,3,2,32017
7935,18,3,3,1,Monarch Meadow Maple Syrup,1,3,121520
7936,59,3,1,1,Anita's Juicery,4,1,121013
7937,59,3,4,0,Maria's Herb Garden,6,4,12013
7938,79,8,3,0,Delightful Honey Bee Farm,3,4,71217
7939,18,3,9,1,Virginia's Pumpkin Patch,2,1,110516
7940,59,3,5,1,Tranquil Creamery,8,3,110922
7941,18,4,1,1,Harvest Peach Orchard,2,5,20819
7942,59,3,9,1,Los Angeles Apples,8,4,62213
7943,79,9,3,0,Carolina's Herb Farm,4,5,22920
7944,38,9,8,0,Eduardo's Lavender Fields,6,2,110918
7945,18,5,2,1,Turtle Pond Honey Bee Farm,5,3,101022
7946,79,9,6,0,Rustic Acre Farms,7,5,60218
7947,18,5,3,1,Breezy Ranch,2,2,42419
7948,18,5,5,1,Cloudy Honeybees,7,5,51822
7949,18,5,8,1,Deer Creek Cow Farm,1,5,72217
7950,39,1,6,1,Blue Lake Chickens,5,2,62021
7951,59,6,5,1,Radiant Cattle,2,5,11321
7952,39,1,8,1,Timmy's Lavender Fields,3,4,42117
7953,59,6,4,0,Jimmy's Farm,2,3,100616
7954,18,6,8,0,Bankers Hill Honeybees,6,3,112114
7955,39,2,1,0,Nelson's Cattle,8,4,90322
7956,39,2,3,1,Kathy's Cattle,5,5,51417
7957,39,2,6,0,Smith Juicery,3,2,80218
7958,18,7,8,1,Mountain Acre Farms,3,1,22517
7959,39,3,4,0,Fly Creek Goats,8,4,110721
7960,39,3,5,0,Fullerton Juicery,1,5,71616
7961,59,8,4,0,Francesco's Ranch,7,1,92120
7962,59,9,1,1,Maricel's Cattle,2,1,41414
7963,59,9,2,1,Breezy Herb Garden,2,2,50921
7964,59,9,4,0,Sunset Hill Avocado Farm,4,2,22221
7965,39,5,7,1,Eduardo's Plum Orchard,1,2,40717
7966,19,1,7,1,Mountain Meadows Horses,9,5,60820
7967,39,6,5,1,Alberto's Herb Garden,4,2,30718
7968,39,6,7,0,Green Meadow Horses,2,5,101716
7969,39,7,1,0,Maricel's Mushroom Farm,9,1,63015
7970,19,2,3,1,Hudson Family Country Estate,6,5,100313
7971,36,3,9,0,Charlotte's Chickens,5,1,12222
7972,39,7,4,0,Fly Creek Horse Ranch,3,5,112118
7973,39,7,9,0,Cloudy Avocado Farm,9,3,50613
7974,19,3,4,1,Harvest Horse Ranch,2,4,50120
7975,19,3,5,0,Blissful Maple Syrup,2,2,92415
7976,19,4,1,1,Aisha's Flower Garden,2,3,21213
7977,39,9,3,0,Elm Tree Hills,8,2,111921
7978,19,4,7,0,Webb Family Pumpkin Patch,4,1,120315
7979,19,6,2,0,Gloria's Honeybees,3,3,70314
7980,19,7,1,1,Blue Lake Creamery,6,3,62319
7981,81,1,8,1,Black Mountain Egg Farm,3,4,103018
7982,19,7,5,0,Smith Pumpkin Patch,1,2,122521
7983,81,2,1,1,Middle Creek Herb Farm,7,3,62220
7984,81,2,4,0,Mountain Meadows Farm,8,1,40518
7985,81,3,1,0,Maria's Lavender Fields,2,3,62316
7986,81,3,2,0,Harvest Pumpkin Patch,3,2,121219
7987,81,3,7,0,Jasmin's Acre Farms,5,4,40814
7988,19,9,3,0,Delightful Pumpkin Patch,8,2,72414
7989,19,9,7,1,Bankers Hill Flower Garden,1,2,51517
7990,81,5,4,0,Swallowtail Ponds Fruit Orchard,7,4,81721
7991,61,1,7,1,Golden Peach Orchard,1,5,81913
7992,81,6,7,1,Dry Creek Cattle,6,2,101019
7993,81,7,6,1,Arizona Herb Farm,9,1,50414
7994,61,3,3,0,Harvest Herb Garden,7,5,92318
7995,81,8,2,1,Smith Avocado Farm,3,1,21115
7996,81,8,3,0,Middle Creek Horse Ranch,4,2,11019
7997,81,8,5,0,Bankers Hill Apples,2,1,42715
7998,61,3,9,0,Arizona Oranges,1,3,90914
7999,61,4,3,0,Sharon's Avocado Farm,3,3,51722
