FY,ENTY-CDE,BLK-NBR-5,SBSDRY-ACCT-HASH-TTL,ACCT-NBRS-HASH-TTL,MINOR-CDE-HASH-TTL,DR-AMT-INDIV-GL-ACCTS,CR-AMT-INDIV-GL-ACCTS,USER-INITS
39,81,38391,3238,-178,91,9821.5,-6890.87,EES
80,79,24431,559,413,303,52561.43,50.9,IRP
39,84,85600,47,-652,-730,501.65,7573.94,AKJ
60,44,71149,-12621,-2707,-1470,-728.34,-15464.11,YAZ
19,51,4836,3539,308,59832,94919.2,24.42,OVD
40,0,21759,23,68,278,73.8,99.6,TGH
80,96,39882,26507,35,-290,66416.76,50.19,QIY
19,56,66816,824,95547,-72,3661.73,14.77,EYU
81,1,48227,9651,116157,127,-286.76,78692.7,IDH
81,2,25492,-495,-832,6828,16.47,8604.61,KXX
60,59,96622,35,510872,468,9033.88,70.34,JMJ
19,69,98311,5066,29755,-453,19.99,-45.68,VNE
40,20,14571,58,63250,8411,-14.35,82483.35,AAI
19,74,51794,-85160,89,3321,987.12,41614.3,EHK
19,78,10792,-64538,131,-87,17938.72,42,GXQ
40,27,36306,66092,614,847,-5206.19,-59885.48,HVD
40,30,31549,693,-221,99339,70360.17,409.26,LJE
60,78,40926,1334,8285,-27,46.35,90.44,HOH
19,83,94451,9052,-3576,-367,23833.61,60.63,FSB
19,89,94058,68,985826,756,66455.22,6416.75,NUI
60,87,16928,386,8727,-967,18.72,-495.44,VTJ
40,39,78759,6988,75424,3961,12341.19,-18.8,LIZ
40,40,12748,9032,37073,1391,-37080.72,-26.56,MUI
40,42,53288,120,67,-25800,-6584.42,97.24,ZCV
81,39,17541,-41,55216,636,-10.57,-17421.43,CDL
81,40,80666,4665,-208,-8860,-2253.68,1415.53,FZQ
81,41,52132,341,-26,3375,-935.12,46.63,UWR
81,44,5430,17121,23562,84514,67345.76,6556.29,JCD
81,45,73884,654,8681,-55,54419.3,20.12,PBQ
40,48,46713,47,5869,-73380,65.65,-73380.85,GCV
40,54,23420,-9871,-685,16,45746.3,-305.82,ASM
20,7,58176,-48295,4498,73857,97962.66,822.6,OFQ
40,58,90079,-48824,777,34,32.4,409.59,SHN
40,61,76900,81,-8572,-524,79.64,3451.21,RBY
81,58,20708,70579,-851757,8891,221.85,9262.9,BRD
20,20,84316,41448,84,19,-70.51,-22.3,NHQ
20,21,86192,757,201285,786,32.38,53695.24,KOZ
81,68,34580,44073,39,546,-9023.63,770.6,VLC
40,74,83348,29,-1580,6578,-56.51,9153.69,SJA
81,77,5120,371,329192,2626,943.98,4371.89,LBA
40,83,99236,-997,8692,14186,392.63,76367.91,AGN
40,84,66963,8201,244662,-3473,940.34,7725.6,KAD
61,32,37684,3754,62,61737,7906.87,28.7,HVG
40,87,74821,355,-78,9949,69985.83,97874.58,VUD
81,85,71127,23,-39,17,60.3,94455.5,RRW
